Id,ChainName,Name,Latitude,Longitude,Address
1212920875,McDonald's,McDonald's,38.5880194,-121.2882741,10725 White Rock Road Rancho Cordova
1223355423,McDonald's,McDonald's,34.0772948,-118.1394196,1520 West Valley Boulevard Alhambra
1229920544,McDonald's,McDonald's,37.7131382,-122.4445763,5454 Mission Street San Francisco
1319685192,McDonald's,McDonald's,33.7139756,-117.1906216,28000 Bradley Road Sun City
1324652620,McDonald's,McDonald's,33.8451334,-117.2247713,64 Ramona Expressway Perris
1373596541,McDonald's,McDonald's,33.8919422,-117.206132,26200 Iris Avenue Moreno Valley
1383894349,McDonald's,McDonald's,34.4698688,-117.3659991,13625 Bear Valley Road Victorville
1387190545,McDonald's,McDonald's,38.8072101,-121.2048843,4211 Sierra College Boulevard Rocklin
1390348314,McDonald's,McDonald's,37.4344507,-121.901318,99 North Milpitas Boulevard Milpitas
1488271075,McDonald's,McDonald's,33.9352793,-117.4545244,5010 Van Buren Boulevard Riverside
1519304747,McDonald's,McDonald's,36.2635366,-119.9000587,870 Franklin Avenue Lemoore
1659685801,McDonald's,McDonald's,35.2614278,-118.914708,10320 Main Street Lamont
1671098154,McDonald's,McDonald's,34.1363534,-117.298989,718 West Highland Avenue San Bernardino
1671335674,McDonald's,McDonald's,35.1260273,-118.408364,
1695757488,McDonald's,McDonald's,37.7443263,-122.1710747,9725 East 14th Street Oakland
1701563989,McDonald's,McDonald's,38.1610074,-121.6907345,
1713512780,McDonald's,McDonald's,34.0240091,-118.3727676,3501 South La Cienega Boulevard Los Angeles
1732628993,McDonald's,McDonald's,34.0733879,-117.9071877,100 N Azusa Avenue West Covina
1759017528,McDonald's,McDonald's,34.0107501,-118.281899,4000 South Figueroa Street Los Angeles
1760337591,McDonald's,McDonald's,34.2794982,-118.7361917,2423 Galena Avenue Simi Valley
1762926011,McDonald's,McDonald's,36.7352591,-120.0614088,15100 West Whitesbridge Avenue
1769148420,McDonald's,McDonald's,34.2349521,-119.0385588,1650 Arneill Road Camarillo
1774180949,McDonald's,McDonald's,34.9355492,-120.4191539,1407 Bradley Road Santa Maria
1777461033,McDonald's,McDonald's,34.9296395,-120.4354138,1710 South Broadway Santa Maria
1781280691,McDonald's,McDonald's,34.9561828,-120.435094,320 North Broadway Santa Maria
1782119846,McDonald's,McDonald's,34.920281,-120.453538,2280 Skyway Drive Santa Maria
1791241446,McDonald's,McDonald's,36.8518601,-119.7290392,1197 North Willow Avenue Clovis
1818064496,McDonald's,McDonald's,33.9250852,-116.899327,2140 West Ramsey Street Banning
1843864471,McDonald's,McDonald's,34.2514129,-117.1884908,28200 Hwy189 Lake Arrowhead
1894039610,McDonald's,McDonald's,37.6999517,-121.0493773,4120 Dale Road Modesto
1894039637,McDonald's,McDonald's,37.7537285,-121.1386385,1382 West Colony Road Ripon
1932947820,McDonald's,McDonald's,34.2357838,-118.4507417,9107 Van Nuys Boulevard Panorama City
2033292787,McDonald's,McDonald's,32.8049869,-116.966687,
2035836714,McDonald's,McDonald's,34.6970191,-118.1724025,44665 Valley Central Way Lancaster
2047680012,McDonald's,McDonald's,38.4956989,-121.4575252,4124 Florin Road Sacramento
2047680017,McDonald's,McDonald's,38.4964941,-121.4306192,6091 Florin Road Sacramento
2113096278,McDonald's,McDonald's,38.6446894,-121.456358,4242 Norwood Avenue Sacramento
2124643355,McDonald's,McDonald's,38.6414379,-121.5081073,3950 Truxel Road Sacramento
2142031007,McDonald's,McDonald's,37.7971331,-121.1942486,1360 East Yosemite Avenue Manteca
2278977525,McDonald's,McDonald's,38.6497487,-121.0682043,4312 Town Center Boulevard El Dorado Hills
2365742146,McDonald's,McDonald's,37.7889505,-122.4014996,609 Market Street San Francisco
2527019141,McDonald's,McDonald's,36.6390959,-120.6263401,46330 West Panoche Road Firebaugh
2532910843,McDonald's,McDonald's,35.986942,-119.9589239,27513 Ward Avenue
2565271207,McDonald's,McDonald's,37.4426808,-122.1704739,208 Stanford Shopping Center Palo Alto
2588223971,McDonald's,McDonald's,38.596668,-121.4158499,1721 Howe Avenue Sacramento
2589394570,McDonald's,McDonald's,38.5591751,-121.4820994,2331 Broadway Sacramento
2590574461,McDonald's,McDonald's,38.3860219,-121.932999,817 Leisure Town Road Vacaville
2718534578,McDonald's,McDonald's,33.1726234,-117.2531569,3517 Cannon Road Oceanside
2882807969,McDonald's,McDonald's,32.5554706,-116.9385155,
2926184053,McDonald's,McDonald's,37.3319262,-119.6550237,
2962128081,McDonald's,McDonald's,38.0229933,-121.2738746,
2993362645,McDonald's,McDonald's,37.5539421,-122.3163898,1420 South El Camino Real San Mateo
3019365963,McDonald's,McDonald's,33.7975813,-116.3853542,34500 Monterey Avenue Palm Desert
3052461551,McDonald's,McDonald's,33.9627252,-117.6951991,15950 Los Serranos Country Club Drive Chino Hills
3061274433,McDonald's,McDonald's,37.786093,-121.2517537,2050 Daniels Street Manteca
3065879945,McDonald's,McDonald's,38.4089069,-121.4766383,2733 Elk Grove Boulevard Elk Grove
3085540013,McDonald's,McDonald's,32.6793219,-117.1199262,3301 Cummings Road San Diego
3245615132,McDonald's,McDonald's,37.5396124,-121.9231339,42800 Mission Boulevard Fremont
3268103859,McDonald's,McDonald's,33.6966641,-117.8858714,3810 South Bristol Avenue Santa Ana
3307695471,McDonald's,McDonald's,37.6064846,-122.3983419,1101 El Camino Real Milbrae
3429757001,McDonald's,McDonald's,34.0428248,-118.3767904,1845 South La Cienega Boulevard Los Angeles
3445863248,McDonald's,McDonald's,34.0397822,-118.1443866,950 West Floral Drive Monterey Park
3455025884,McDonald's,McDonald's,37.6521849,-122.4912604,125 Monterey Road Pacifica
3476999717,McDonald's,McDonald's,34.1236341,-118.072601,6910 Rosemead Boulevard San Gabriel
3493796030,McDonald's,McDonald's,36.8455131,-119.6641499,2654 East Alluvial Avenue Clovis
3611753516,McDonald's,McDonald's,38.0614,-122.5321355,5600 Nave Drive Novato
3699391909,McDonald's,McDonald's,35.1245708,-118.4696042,
3748885622,McDonald's,McDonald's,38.393151,-121.416865,10075 Bruceville Road Elk Grove
3750103626,McDonald's,McDonald's,36.323155,-119.673403,110 North 12th Avenue Hanford
3750107626,McDonald's,McDonald's,36.32218,-119.675739,
3810642508,McDonald's,McDonald's,37.8031883,-122.282176,800 Market Street Oakland
3862258853,McDonald's,McDonald's,37.96667,-121.2979004,1423 North Center Street Stockton
3864112660,McDonald's,McDonald's,37.9376053,-121.2955275,611 West Charter Way Stockton
3917769287,McDonald's,McDonald's,38.605524,-122.868412,110 Healdsburg Avenue Healdsburg
3934305662,McDonald's,McDonald's,37.7638731,-122.1961999,6300 East 14th Street Oakland
3977061530,McDonald's,McDonald's,35.048192,-118.171828,
3999911076,McDonald's,McDonald's,34.0930091,-118.0268631,4851 Santa Anita Road El Monte
4004486092,McDonald's,McDonald's,36.7929328,-119.699548,5608 East Ashlan Avenue Fresno
4020775929,McDonald's,McDonald's,37.781451,-122.2342414,2520 East 12th Street Oakland
4045991177,McDonald's,McDonald's,34.0705761,-118.2682023,405 North Alvarado Street Los Angeles
4047682791,McDonald's,McDonald's,41.3976266,-122.3796805,1925 Shastina Drive Weed
4093400981,McDonald's,McDonald's,38.0021134,-121.292234,1049 East March Lane Stockton
4104945993,McDonald's,McDonald's,33.8612568,-118.1683127,5860 Cherry Avenue Long Beach
4216515136,McDonald's,McDonald's,38.0828653,-120.5599697,
4217407521,McDonald's,McDonald's,34.0842005,-117.9678973,14008 Ramona Parkway Baldwin Park
4220779496,McDonald's,McDonald's,34.031333,-117.91539,2501 South Azusa West Covina
4221638111,McDonald's,McDonald's,34.0715988,-117.959279,14530 Baldwin Park Baldwin Park
4282010595,McDonald's,McDonald's,34.1084085,-117.9346458,5203 Irwindale Avenue Irwindale
4284192491,McDonald's,McDonald's,34.0874941,-118.175825,4947 Huntington Drive Los Angeles
4311259394,McDonald's,McDonald's,34.0708112,-117.9331919,
4311327390,McDonald's,McDonald's,34.0699876,-117.9788472,3160 Baldwin Park Boulevard Baldwin Park
4367365960,McDonald's,McDonald's,34.5587919,-118.0461803,37217 47th Street East Palmdale
4390546116,McDonald's,McDonald's,37.8825037,-122.296847,1198 San Pablo Avenue Berkeley
4425419136,McDonald's,McDonald's,38.6649243,-121.2715387,5402 Sunrise Boulevard Citrus Heights
4435233189,McDonald's,McDonald's,34.1070698,-117.3970451,1318 West Foothill Boulevard Rialto
4516268389,McDonald's,McDonald's,38.8888925,-121.2930635,290 G Street Lincoln
4555833632,McDonald's,McDonald's,38.0210048,-121.9423092,220 Bailey Road Bay Point
4563993977,McDonald's,McDonald's,37.4923815,-120.8720638,2000 West Main Street Turlock
4589500415,McDonald's,McDonald's,33.0132307,-117.0786148,16440 Bernardo Center Drive San Diego
4626983989,McDonald's,McDonald's,37.7892272,-122.4077251,441 Sutter Street San Francisco
4790760223,McDonald's,McDonald's,33.8865956,-117.8634978,164 North Kraemer Boulevard Placentia
4836184672,McDonald's,McDonald's,33.8602568,-117.7922667,5621 East La Palma Avenue Anaheim
4903112327,McDonald's,McDonald's,34.0566094,-118.426033,10451 Santa Monica Boulevard Los Angeles
4986032453,McDonald's,McDonald's,34.3951435,-118.922857,908 Ventura Street Fillmore
5031196624,McDonald's,McDonald's,34.0193357,-118.1508636,5545 East Whittier Boulevard East Los Angeles
5225590921,McDonald's,McDonald's,32.978884,-115.54209,105 West Main Street Brawley
5326303587,McDonald's,McDonald's,38.6767345,-121.7503348,1500 East Main Street Woodland
5355831858,McDonald's,McDonald's,34.1216507,-117.198775,27774 Baseline Street Highland
5484491759,McDonald's,McDonald's,33.8021457,-117.2257646,1675 North Perris Boulevard Perris
5499607845,McDonald's,McDonald's,38.0843852,-122.2318115,170 Lincoln Road East Vallejo
5593232121,McDonald's,McDonald's,37.8896427,-121.6207212,14896 Highway 4 Discovery Bay
5600906679,McDonald's,McDonald's,34.1456038,-118.2595275,
5642659224,McDonald's,McDonald's,33.6784732,-117.8622186,Santa Ana
5642683721,McDonald's,McDonald's,33.680509,-117.8609849,Santa Ana
5652148805,McDonald's,McDonald's,33.9458293,-118.3446655,4015 West Century Boulevard Inglewood
5749514348,McDonald's,McDonald's,36.32799,-119.3314254,3636 West Mineral King Avenue Visalia
5840819502,McDonald's,McDonald's,33.9455587,-116.5009706,14280 Palm Drive Desert Hot Springs
5850756474,McDonald's,McDonald's,38.5715751,-121.4668544,3006 K Street Sacramento
5855350206,McDonald's,McDonald's,38.5253251,-121.4418388,5425 Fruitridge Road Sacramento
6070285430,McDonald's,McDonald's,34.4222641,-119.6802126,29 North Milpas Street Santa Barbara
6127611985,McDonald's,McDonald's,38.9299606,-122.617228,15940 Dam Road Clearlake
6157860886,McDonald's,McDonald's,34.1531576,-118.2576695,500 North Central Avenue Glendale
6162773685,McDonald's,McDonald's,38.1191636,-122.2554433,3289 Sonoma Boulevard Vallejo
6277597578,McDonald's,McDonald's,37.2728549,-121.933524,2699 Union Avenue San Jose
6278441244,McDonald's,McDonald's,34.0110768,-118.317922,2215 West Martin Luther King Jr Boulevard Los Angeles
6329876614,McDonald's,McDonald's,37.9257144,-121.7363689,2351 Balfour Road Brentwood
