workKey,title,authorNames,firstPublishYear,genreBucket,subjectsRaw,description,coverId,editionCount,ratingsAverage,ratingsCount,wantToReadCount,alreadyReadCount,openLibraryUrl
/works/OL17352669W,A Court of Thorns and Roses,Sarah J. Maas,2013,Magic,"Fantasy; Love; Blessing and cursing; Fairies; Children's audiobooks; Fiction; Juvenile fiction; Love stories; Children's fiction; Love, fiction; Fantasy fiction; Fairies, fiction; nyt:young-adult=2015-05-24; New York Times bestseller; nyt:young-adult-paperback=2016-05-22; collectionID:EanesChallenge; collectionID:AlpineChallenge; collectionID:ConroeChallenge; Magic; Man-woman relationships; Älvor; Kärlek; Young adult fiction; Teen fiction; Juvenile works; Young adult works; Magi; series:A_Court_of_Thorns_and_Roses; Faerie; Romance; Courts ect.; Shipping; Taxation; Commerce; Drum machine; Sequencer (Musical instrument)","When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world.

At least, he's not a beast all the time.

As she adapts to her new home, her feelings for the faerie, Tamlin, transform from icy hostility into a fiery passion that burns through every lie she's been told about the beautiful, dangerous world of the Fae. But something is not right in the faerie lands. An ancient, wicked shadow is growing, and Feyre must find a way to stop it, or doom Tamlin-and his world-forever.",8738585,35,3.9027777,144,3875,324,https://openlibrary.org/works/OL17352669W
/works/OL1922990W,Pawn of Prophecy,David Eddings,1982,Magic,"Fiction; Literature; High fantasy; Buildungsroman; Fantasy fiction; Juvenile fiction; Magic; Heroes; Good and evil; Garion (fictitious character), fiction; Fiction, fantasy, epic; Fiction, fantasy, general","The first book of the Belgariad.A magnificent epic set against a history of seven thousand years of the struggles of Gods and Kings and men - of strange lands and events - of fate and a prophecy that must be fulfilled!THE BELGARIADLong ago, so the Storyteller claimed, the evil God Torak sought dominion and drove men and Gods to war. But Belgarath the Sorcerer led men to reclaim the Orb that protected men of the West. So long as it lay at Riva, the prophecy went, men would be safe.But that was only a story, and Garion did not believe in magic dooms, even though the dark man without a shadow had haunted him for years.Brought up on a quiet farm by his Aunt Pol, how could he know that the Apostate planned to wake dread Torak, or that he would be led on a quest of unparalleled magic and danger by those he loved - but did not know?For a while his dreams of innocence were safe, untroubled by knowledge of his strange heritage. For a little while...THUS BEGINS BOOK ONE OF THE BELGARIAD",1000455,27,4.0882354,34,211,73,https://openlibrary.org/works/OL1922990W
/works/OL17662393W,A New Beginning,John Flanagan,2013,Magic,"JUVENILE FICTION; Action & Adventure; Apprentices; Fantasy fiction; Fiction; Fantasy; JUVENILE FICTION / Action & Adventure / General; JUVENILE FICTION / Fantasy & Magic; JUVENILE FICTION / General; Children's fiction; Heroes, fiction; Magic, fiction; Apprentices, fiction","After a senseless tragedy destroys his life, Will is obsessed with punishing those responsible -- even if it means leaving the Ranger Corps. His worried friends must find a way to stop him taking such a dark path.

It is Halt who suggests the solution: Will must take an apprentice. The candidate Halt has in mind surprises everyone -- and it's a request Will cannot refuse.

Training a rebellious, unwilling apprentice is hard enough. But when a routine mission uncovers a shocking web of crime, Will must decide where his priorities lie -- finishing his quest for revenge, or saving innocent lives?

*Originally known as ""The Royal Ranger,"", it was the twelfth and final novel in the Ranger's Apprentice series. In 2018, it was renamed and became the first book in the sequel series, ""The Royal Ranger.""* 

----------
**Books in this series**

 1. A New Beginning
 2. [The Beast from Another Time][2]
 3. [The Red Fox Clan][3]
 4. [Duel at Araluen][4]",8981245,4,4.888889,9,69,19,https://openlibrary.org/works/OL17662393W
/works/OL27675460W,The Dark Secret,Tui T. Sutherland,2013,Magic,"Er tong wen xue; Chang pian xiao shuo; Children's fiction; Dragons, fiction; Identity, fiction; Adventure and adventurers, fiction; Identity (Psychology); Juvenile fiction; Dragons; Prophecy; Identity; Fiction; Adolescence, fiction; Fantasy fiction; Adventure and adventurers; Secrets; Prophecies; Action & Adventure; Fantasy & Magic; Social Themes; Adolescence; Secrecy; Adventure fiction; nyt:series-books=2013-11-17; New York Times bestseller; Romans, nouvelles, etc. pour la jeunesse; Prophétie; Identité (Psychologie)","The dragonets of destiny are on their way to see the NightWings, and Starflight doesn't need his psychic powers to know it isn't going to go well. Starflight knows it's his duty as a NightWing to convince the other dragonets to choose Blister as queen. But he can't help feeling that there's something Morrowseer and the other NightWings aren't telling him, something that could put his friends in grave danger. While other NightWings have their powers to help them, Starflight has to rely on his brain, and with SkyWings chasing them and Queen Burn on their tails, that might not be enough.",12649941,18,4.368421,19,212,39,https://openlibrary.org/works/OL27675460W
/works/OL8455253W,City of Ashes,Cassandra Clare,2008,Magic,"New York Times bestseller; nyt:series_books=2010-07-10; Magic; Paranormal fiction; Juvenile fiction; Demonology; Supernatural; Fiction; Children's fiction; Supernatural, fiction; Demonology, fiction; Magic, fiction; New york (n.y.), fiction; Young adults","Clary Fray just wishes that her life would go back to normal. But what's normal when you're a demon-slaying Shadowhunter, your mother is in a magically induced coma, and you can suddenly see Downworlders like werewolves, vampires, and faeries? If Clary left the world of the Shadowhunters behind, it would mean more time with her best friend, Simon, who's becoming more than a friend. But the Shadowhunting world isn't ready to let her go -- especially her handsome, infuriating, newfound brother, Jace. And Clary's only chance to help her mother is to track down rogue Shadowhunter Valentine, who is probably insane, certainly evil—and also her father.

To complicate matters, someone in New York City is murdering Downworlder children. Is Valentine behind the killings—and if he is, what is he trying to do? When the second of the Mortal Instruments, the Soul-Sword, is stolen, the terrifying Inquisitor arrives to investigate and zooms right in on Jace. How can Clary stop Valentine if Jace is willing to betray everything he believes in to help their father?",1787130,2,4.0555553,36,69,55,https://openlibrary.org/works/OL8455253W
/works/OL28996W,The Amber Spyglass,Philip Pullman,1999,Magic,"Fantasy; Fantasy fiction; Quests (Expeditions); Fiction; Missing persons; Good and evil; Kidnapping; Traducciones al español; Imaginary places; Lyra Belacqua (Fictitious character); Magic; Magia; Belacqua, Lyra (Personaje literario); Will Parry (Fictitious character); Science fiction; Ficción juvenil; Novela fantástica; Lugares imaginarios; Niños; Juvenile fiction; Bien y mal; Experiments; Novela fantástica inglesa; Children; Parry, Will (Personaje literario); Familiars (Spirits); Witches; Demonology; Children's fiction; Belacqua, lyra (fictitious character), fiction; Large type books; Reading Level-Grade 11; Reading Level-Grade 12; Young adult fiction; Science fiction, fantasy, horror; Fiction, fantasy, general; Fantasy anglaise; Er tong xiao shuo; Zhang pian xiao shuo; San bu qu(zuo pin); American Fantasy fiction; English Fantasy fiction","In the astonishing finale to the His Dark Materials trilogy, Lyra and Will are in unspeakable danger. With help from Iorek Byrnison the armored bear and two tiny Gallivespian spies, they must journey to a dank and gray-lit world where no living soul has ever gone. All the while, Dr. Mary Malone builds a magnificent Amber Spyglass. An assassin hunts her down, and Lord Asriel, with a troop of shining angels, fights his mighty rebellion, in a battle of strange allies—and shocking sacrifice.

As war rages and Dust drains from the sky, the fate of the living—and the dead—finally comes to depend on two children and the simple truth of one simple story.",12613246,87,3.8648648,111,191,177,https://openlibrary.org/works/OL28996W
/works/OL15166256W,The Sorcerer of the North,John Flanagan,2008,Magic,"Fiction; Fantasy; Heroes; Kidnapping; Magic tricks; Juvenile fiction; Children's fiction; Heroes, fiction; Fantasy fiction; Kidnapping, fiction; Magic; Good and evil; Witchcraft","Known as *The Sorcerer of the North* in the U.S..

Time has passed since the apprentice and his master, Will and Halt, led the Araluens to victory against invaders, and Will is now a full-fledged Ranger with his own fief to look after. The fief seems sleepy -- boring, even -- until the Skandians show up and Will has to deal with the threat. Shortly thereafter, Will goes on a secret mission. Joined by his friend Alyss, Will is thrown headfirst into an extraordinary adventure propelled by fears of sorcery, and must determine who is trustworthy to the king and who is trying to take his throne.

Will and Alyss must battle growing hysteria, traitors, and most of all, time. The king is fading, but when Alyss is taken hostage, Will is forced to make a desperate choice between loyalty to his mission and loyalty to his friend.


----------
**Books in this series**

 1. [The Ruins of Gorlan][1]
 2. [The Burning Bridge][2]
 3. [The Icebound Land][3]
 4. [Oakleaf Bearers][4]
 5. Sorcerer in the North
 6. [The Siege of Macindaw][6]
 7. [Erak's Ransom][7]
 8. [The Kings of Clonmel][8]
 9. [Halt's Peril][9]
 10. [The Emperor of Nihon-Ja][10]
 11. [The Lost Stories][11]
 12. [A New Beginning][12]

  [1]: https://openlibrary.org/works/OL7988545W
  [2]: https://openlibrary.org/works/OL7988536W
  [3]: https://openlibrary.org/works/OL5721971W
  [4]: https://openlibrary.org/works/OL7988552W
  [6]: https://openlibrary.org/works/OL5721973W
  [7]: https://openlibrary.org/works/OL5721970W
  [8]: https://openlibrary.org/works/OL15416512W
  [9]: https://openlibrary.org/works/OL15367649W
  [10]: https://openlibrary.org/works/OL19815687W
  [11]: https://openlibrary.org/works/OL18823189W
  [12]: https://openlibrary.org/works/OL17662393W",6285590,5,4.3157897,19,102,37,https://openlibrary.org/works/OL15166256W
/works/OL19969194W,Il Fate del Lago,Elisabetta Dami,2012,Magic,"Adventure and adventurers; Quests (Expeditions); Juvenile fiction; Thea Stilton (Fictitious character); Fairies; Fiction; Adventure stories; Mice; Children's fiction; Mice, fiction; Fairies, fiction; Adventure and adventurers, fiction; Sisters, fiction; Magic, fiction; Fantasy fiction","When Thea Stilton travels to Ireland to search for a missing agent, she finds that the whole  fantasy Land of Erin is being threatened by earthquakes, and soon Will Mystery and the Thea sisters follow to help her find the secret of the fairies.

When Thea travels to Ireland to search for a missing agent, she finds that the whole fantasy Land of Erin is being threatened by earthquakes, and soon Will Mystery and the Thea sisters follow to help her find the secret of the fairies. Special Edition #2",9400835,5,4.318182,22,146,35,https://openlibrary.org/works/OL19969194W
/works/OL19347138W,Nevermoor,Jessica Townsend,2017,Magic,"Children's fiction; Magic, fiction; Contests, fiction; JUVENILE FICTION / Action & Adventure / General; Magic; Blessing and cursing; JUVENILE FICTION / Fantasy & Magic; JUVENILE FICTION / Social Issues / Friendship; JUVENILE FICTION / Mysteries & Detective Stories; Fiction; JUVENILE FICTION / Social Issues / Self-Esteem & Self-Reliance; JUVENILE FICTION / Social Issues / Emotions & Feelings; JUVENILE FICTION / Social Issues / Emigration & Immigration; Contests; Juvenile fiction; nyt:childrens-middle-grade-hardcover=2017-11-19; New York Times bestseller; Adventure stories; Children's stories; Fantasy fiction; Australian","A cursed girl escapes death and finds herself in a magical world-but is then tested beyond her wildest imagination

Morrigan Crow is cursed. Having been born on Eventide, the unluckiest day for any child to be born, she's blamed for all local misfortunes, from hailstorms to heart attacks--and, worst of all, the curse means that Morrigan is doomed to die at midnight on her eleventh birthday.

But as Morrigan awaits her fate, a strange and remarkable man named Jupiter North appears. Chased by black-smoke hounds and shadowy hunters on horseback, he whisks her away into the safety of a secret, magical city called Nevermoor.

It's then that Morrigan discovers Jupiter has chosen her to contend for a place in the city's most prestigious organization: the Wundrous Society. In order to join, she must compete in four difficult and dangerous trials against hundreds of other children, each boasting an extraordinary talent that sets them apart - an extraordinary talent that Morrigan insists she does not have. To stay in the safety of Nevermoor for good, Morrigan will need to find a way to pass the tests - or she'll have to leave the city to confront her deadly fate.",8458528,8,4.7777777,9,96,14,https://openlibrary.org/works/OL19347138W
/works/OL17827992W,La Belle Sauvage,Philip Pullman,2017,Magic,"Fantasy; Lyra Belacqua (Fictitious character); Fiction; Belacqua, lyra (fictitious character), fiction; Children's fiction; Adventure and adventurers, fiction; Fantasy fiction; Friendship, fiction; nyt:young-adult-hardcover=2017-11-05; New York Times bestseller; Juvenile fiction; Friendship; Familiars (Spirits); Adventure and adventurers; Voyages and travels; Infants; Babies; Young adult fiction; Spies; Taverns (Inns); Magic; Spanish language materials; Materiales en español; Ficción; Lyra Belacqua (Fictional character); Demonology; Spanish language","Malcolm Polstead is the kind of boy who notices everything but is not much noticed himself. And so perhaps it was inevitable that he would become a spy....

Malcolm's father runs an inn called the Trout, on the banks of the river Thames, and all of Oxford passes through its doors. Malcolm and his daemon, Asta, routinely overhear news and gossip, and the occasional scandal, but during a winter of unceasing rain, Malcolm catches wind of something new: intrigue.

He finds a secret message inquiring about a dangerous substance called Dust--and the spy it was intended for finds *him*.

When she asks Malcolm to keep his eyes open, Malcom sees suspicious characters everywhere: the explorer Lord Asriel, clearly on the run; enforcement agents from the Magisterium; a gyptian named Coram with warnings just for Malcolm; and a beautiful woman with an evil monkey for a daemon. All are asking about the same thing: a girl--just a baby--named Lyra.

*Lyra* is the kind of person who draws people in like magnets. And Malcolm will brave any danger, and make shocking sacrifices, to bring her safely through the storm.

This description comes from the publisher. *La Belle Sauvage* is the first volume of the Book of Dust trilogy, which takes place in the world of the His Dark Materials trilogy, the first of which is *The Golden Compass* or *Northern Lights*.",8597847,18,4.130435,23,61,32,https://openlibrary.org/works/OL17827992W
